ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
711,Chocolate Chips,Bella,1.0,porsi (20 g),90.0,,,16.0,,1.0,3.0,3.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
712,Chocolate Choc Almond,Haagen Dazs,100.0,g,355.0,,,24.8,,5.9,25.2,14.8,1.3,8.0,,64.0,2.7,,,23.8,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,
713,Chocolate Coconut,WoCA,1.0,porsi (30 g),170.0,,,17.0,,2.0,10.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,
714,Chocolate Coffee,WoCA,1.0,serving (20 g),110.0,,,10.0,,1.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"715,Chocolate Cream Biscuits,UBM Biscuits,1.0,""pack (22,5 g)"",100.0,,,17.0,,2.0,3.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,"
716,Chocolate Crispy,Aice,1.0,bungkus (60 g),110.0,,,9.0,,1.0,8.0,6.0,,,,4.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,
717,Chocolate Danish Bread,Yamazaki,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,Chocolate De Ville,The Harvest,100.0,g,460.0,,,39.0,,6.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Chocolate Drink,Aik Cheong,1.0,cup (40 g),180.0,,,28.0,,3.0,6.0,5.0,,,,0.0,2.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,
720,Chocolate Drink,Cadbury,30.0,g),130.0,,,24.0,,1.0,4.0,4.0,,,,0.0,1.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,
721,Chocolate Durian,WoCA,1.0,serving (20 g),110.0,,,11.0,,1.0,7.0,7.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
722,Chocolate Flavour,Baricho,1.0,bungkus (7 g),35.0,,,4.0,,1.0,2.0,1.5,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
723,Chocolate Flavour,Pocky,1.0,bungkus (22 g),110.0,,,16.0,,2.0,4.0,3.5,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
724,Chocolate Flavour Cream Biscuit,Hatari,3.0,pasang (21 g),100.0,,,16.0,,1.0,3.5,2.0,,,,,0.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,
